0;Komunitas "13 Nomaden" Bekasi;Villa Mutiara GAding 3 Blok E2/15 Kel Babelan-Bekasi;0;0
00001;Smart Milenium Effisiensi, PT.;Jl. Kelapa Gading Utara Blok E10 No. 29-30 Kelapa Gading Jakarta Utara;80615587 - 89 ext 363;0
00002;Graha Samudra Health & Equipment Distributor  PT.;Jl. Industri Raya Komplek Griya Kemayoran Kav. 9-11 Suite Ruko I No. 7 lt 1 & 2 Jakarta Pusat;6260911;62317660
00003;Asosiasi RS Swasta Malang (ARSAMA);Jl. WR. Supratman No 10 Malang;(0341) 470805;(0341) 470804
00004;Komunitas Konsultan Rumah Sakit Indonesia;Jl. Kepodang Raya K9/10 Bintaro Jaya K9 - 10 Sektor 2 Ciputat Timur Tangerang Selatan;0;0
00005;Universitas Islam Negeri  Walisongo Semarang;Jl. Prof. Dr. HAMKA Km 2. (Kampus III) Ngaliyan Semarang;024 7606505;0
00006;Tirta Fresindo Jaya, PT.;Jl. Daan Mogot 18 Cengkareng Jakarta Barat;6191499;54392902
00007;Mitra Fajar Selaras, PT;Komplek Rukan PTC Blok 8 No 28-29 Pulogadung Jakarta;46827776;46827033
00008;The National Network of Health Promoting Hospital & Health Services;ihphnet@gmail.com;081563133359;0266 7100365
00009;SMT, PT. (INDOSAT GROUP);Jl. Sawo Kecik No. 04 Bukit Duri, Tebet Jakarta Selatan;0816675675;08157711002
00010;DPR RI / Dra. Hj. Okky Asokawati. M.Si;Gd. Nusantara I lt 15 Ruang 1512. Jl. Jend. Gatot Subroto Senayan Jakarta;5755506;575506
00011;Ravindra Putrapratama, PT.;Pusat Niaga Duta Mas Fatmawati Blok B2 No. 18 Jl. RS. Fatmawati No. 39 Jakarta Selatan;7210003;72798481
00012;Badan Standarisasi Nasional (BSN);Gedung I BPPT lt 9-14 Jl. M.H. Thamrin No. 8 Jakarta ;3927422;3927527
00013;Yayasan Al Ashriyyah Nurul Iman ISlamic Boarding School;Parung Bogor;08111165512;0
00014;TAITRA;Taiwan Trade Center, Wisma GKBI 17th floor Suite 1717 Jend. Sudirman Kav 28 Jakarta 10210;5741102;5741082
00015;STIE Ahmad Dahlan Jakarta;Jl. Ciputat Raya No. 77 Cireundeu Jakarta Selatan;7430930;7491100
00016;Clarity Research Indonesia, PT.;Sona Topas Tower, 8th floor, Jl. Jend. Sudirman Kav 26 Jakarta 12920;5265022;5264766
00017;Luxen Makmur Sejahtera,  PT.;Ketapang Business Center Blok B12 Jl. KH Zainul Arifin No. 20 Jakarta Pusat;6338191;6338195
00018;Kebayoran Pharma, PT.;Jl. Garuda 79, Kemayoran Jakarta 10610;4207042;4243778
00019;Bringin Karya Sejahtera,  PT.;Jl. Veteran II No. 15 Jakarta Pusat;3850013;3865465
00020;SMK Nurul Hikmah;Jl. Raya Jonggol Cibucil Desa Sukamanah Kec. Jonggol  Kab. Bogor;89933032;0
00021;PERSI Cabang Daerah Istimewa Yogyakarta;Jl. Menjangan WB.I/683 Kleben 028/06 Pakucen Wirobrajan Yogyakarta;0274 417748;0274 9605169
00022;Puskesmas Kecamatan Kemayoran ;Jl. Harapan Mulia Barat No. 1 Jakarta;4251018;42801846
00023;Asuransi Allianz Life Indonesia,  PT.; Jakarta;081318608687;0
00024;Asosiasi Ahli Pendidikan Profesi Kesehatan Indonesia;Jl. Farmako, Sekip Utara Yogyakarta;0274-562139;0274-561196
00025;Huawei Tech Investment, PT.;Jakarta;081808006559;981219324054
00026;PD. Asri Kurnia (Shell Suprapto);Jl. Letjen Suprapto Jakarta Pusat;021-42871813;021-42871622
00027;RSIA Evasari;Jl. Rawamangun No. 47 Jakarta 10570;4202851;4209725
00028;Panin Bank Syariah;Gedung Panin Life Center Lt 3. Jl. Letjend S. Parman Kav. 91 Slipi Jakarta Barat;569561000;56956105
00029;DKM Masjid Al-Ikhlas;Perumahan Vila Gading Harapan Jl,. Pandawa Raya RW 046 kec. Babelan Bekasi;085100378021;082112642404
00030;Poltekkes Kemenkes Riau;Jl. Melur No 103 Pekanbaru 28122;(0761) 36581;(0761) 20656
00031;Perum Percetakan Negara RI;Jl. Percetakan Negara No. 21 Jakarta 10560;4241909;4207251
00032;AKBID Madani Kabupaten Sinjai;Jl. Titang Tappee Kab. Sinjai;08114448425;081241923322
00033;Azuri Bahtera Raya, PT.;Jl. Kampung Baru Raya No. 10 RT 05/09 Kelapa Dua wetan Ciracas Jakarta Timur;29479234;085883590416
00034;SMK Negeri 54;Jl. Bendungan Jago No 53 Serdang Kemayoran Jakarta Pusat 10650;4248741;08129684877
00035;Pengurus Daerah Ikatan Okupasi Terapis Indonesia Propinsi Jawa Tengah;Jl. Dr. Sutomo No. 16 Semarang;024 8413993;pswt 4045
00036;Bayu Tehnik,  PT.;Jl. Penjernihan II No. 47/C Jakarta Pusat 10210;5700009;5739860
00037;FISIP UMJ;Jl. KH Ahmad Dahlan Cireundeu Ciputat Jakarta Selatan 15419;089656055238;08387278782
00038;Mitra Bima Abadi;Jl. Babakan Tarogong No. 240 Terusan Pasirkoja Bandung ;022 - 6011963;0
00039;Falcon Medical Instruments,  PT.;Gedung Mega Glodok Kemayoran lt I Blok B 6 No. I Jl. ANgkasa Kav. B-6 Kemayoran Jakarta Pusat 10610;40999585;26051114
00040;PT. Biocare Sejahtera;Ruko Kranggan Permai Blok RT-17 No. 30 Jatisampurna Bekasi;8457124;8457124
00041;Yayasan Kesejahteraan Umat "Hasanah" Gorontalo;Jl. Budi Utomo No. 33 Kota Gorontalo;0435 - 821395;0
00042;Yayasan Pendidikan Sosial MBC Indonesia;Jl. Rawa Selatan VI No. 25 Jakarta;4261211;90308793
00043;Yayasan Tunas Insan Mulia;Jl. Jambu No.80 Ciputat - parung raya;02198660293;081287278132
00044;Sinar Amartapura Persada, PT.;Jl. Binalontar No. 79 Jatiwaringin Pondokgede Bekasi 17411;081310202667;087878486622
00045;AKPER Jayakarta;Jl. Tanah Merdeka V Kav. 26 Kel. Rambutan Kec. Ciracas Jakarta Timur;840003657;8403582
00046;MUKISI Cabang Banten;RSI Asshobirin Jl. Raya Serpong Km 11 Pondok Jangung , Tangerang Selatan 15320;5384314;5374392
00047;Akper Totabuan Kotamobagu;Jl. Kesatria Kotamobagu ;081355669861;0
00048;Dr. dr. Cosphiadi Irawan, Sp.PD-KHOM;Jakarta;0;0
00049;BNI LIfe Insurance, PT.;BNI Life Tower, 21st Floor The Landmark Center. Jl. Jend. Sudirman No .1 Jakarta 12910;29539999;29539998
00050;Universitas Kristen Krida Wacana;Jl. Tanjung Duren Raya No. 4 Jakarta;5666952;5666956
00051;Punggawa Tritunggal, PT.;Jakarta;0;0
00052;ICMI Orwil DKI Jakarta Megapolitan;Jl. Ceger Raya No. 9 Cipayung Jakarta Timur;80880380;80872467
00053;Izzah Master Tour;Jl. Melati Raya No. 5 RT 04. RW 05 Kel. Depok Jaya Kec. Pancoranmas Depok 16432;22969936;77207553
00054;RS Universitas Hasanuddin;Jl. Perintis Kemerdekaan Km. 11 Tamalanrea, Makassar 90245;0411 - 591331;0411 - 591332
00055;Dirjen Pendidikan Dasar Dan Menengah Kemendikbud;Jl. Jend. Sudirman, Senayan Jakarta 10270;5725477;5725049
00056;Franlim Healthy Center;Ruko Taman Nyiur Blok N No. 4B Sunter Agung. Jakarta Utara 14350;65303174;6505785
00057;SMK Farmasi Citra Bangsa Aceh Utara;Jl. Jambo Aye Gp Meunasah Pantonlabu - Aceh Utara 24394;085262680468;082161353620
00058;AIDIPROKESI;UI;0;0
00059;Pimpinan Cabang Aisyiyah Brondong Kabupaten Lamongan;Jl. Wedung Rt. 01 RW 07 no 456 Sedayulawas Brondong Lamongan 62263;082140372377;0
0006;Kedutaan Besar Hongaria;Jl. Rasuna Said Kav. X3 Kuningan Jakarta 12950 ;5203459;5203461
00060;Indo Medika Utama, PT.;Graha Mandiri 28th Floor Jl. Imam Bonjol I No. 61 Jakarta 10310;39837435;31923245
00061;Indosakti Cussons baby, PT.;Jakarta;072123181606;0
00062;Dutakreatif Nusantara,  PT.;Kompleks Bilabong Blok J - 14 Jl. Raya Bogor Parung Bogor;0818751987;0
00063;Prof. DR. H.M. Amien Rais, MA;Jogjakarta;0;0
00064;Darul Amal Jampangkulon;Jl. Cinagen Cikaso, Jampangkulon Sukabumi 43178;266490228;266490228
00065;RS Kramat 128;Jl. Kramat Raya No. 128 Jakarta Pusat 10430;3909513;3909125
00066;Al-Wasat Publishing House;Jl. Legoso Raya No. 22 D Ciputat Jakarta 15419;7418674;7414937
00067;MIra Fermar Makmur,  PT.;Sunter Pratama Raya Blok H-8 No. 1 Jakarta Utara;081284367972;085774619272
00068;Fak. Kedokteran Universitas Gajah Mada;Jl. Farmako Sekip Utara Yogyakarta 55281;(0274) 631206;560300
00069;Pusat Koperasi Bina Kerta Raharja Polda Metro Jaya;Jl. Jend. Sudirman No. 55 Jakarta Selatan;5234229;0
0007;Kedutaan Besar Belgia;jl. Diponegoro19 Menteng Jakarta Pusat;021-55957320;021-55957320
00070;Kedutaan Besar Jerman ;Jl. M.H. Thamrin No. 1 Jakarta 10310;39855000;39855130
00071;Fakultas Farmasi Universitas Muhammadiyah Purwokerto  Fakultas Far  Fakultas Farmasi Universitas Muhammadiyah Purwokerto;Kampus I Jl. Raya Dukuhwaluh PO. Box 202 Purwerkto     Kampus I Jl. Raya Dukuhwaluh PO BOX 202 Purwokwerto 53182;0281 - 636751;0281 637239
00072;Politeknik LP31;Gedung Sentra Kramat Jl. Kramat Raya No. 7/9 Jakarta 10450;31904598;31904599
00073;Gunung Subur, PT.;Jaten Km. 9 kranganyar 57731;0271-825341;0271-821142
00074;Hospital Management Asia;-;0;0
00075;Graha Pusri Medika RS Pusri, PT.;Jl. Mayor Zen Palembang 30118;0711 712222;0711 712071
00076;Fakultas Ekonomi Dan Bisnis Univ. Pancasila;Jl. Srengseng Sawah, Jagakarsa Jakarta Selatan;7873709;7270133
00077;Tim Kendali Mutu dan Kendali Biaya Cab. Jakarta Pusat;Jakarta;0;0
00078;Promedrahardjo Farmasi Industri, PT.;Jl. Raya  Siliwangi - Parungkuda - Sukabumi;0266 535393;0266 535397
00079;Labora Medical - Dental - Laboratory Supplier;Jakarta;0;0
00080;Ikatan Alumni Pondok Pesantren Darul Arqam Muhammadiyah Garut;Garut;0;0
00081;Pedagang Food Court Gedung Pusdiklat;Jakarta;0;0
00082;Dinas Kesehatan Pemkot Makassar;Jl. Teduh Bersinar No. 1 Makassar;0411 881549;0
